session_id,round_id,timestamp_ms,letter_shown,button_pressed,correct_press,missed_opportunity,vibration_event,vibration_duration_ms,vibration_count,progress,score,time_left_ms,display_duration_ms,capacitive_touch
P001,1,1745505465111,E,1,1,0,1,244,5,TE,4,51705,500,126
P001,2,1745483368111,A,1,1,0,1,332,1,TE,2,19768,500,182
P001,3,1745500313111,O,1,0,0,0,0,3,,5,26998,500,85
P001,4,1745472519111,A,1,1,0,0,0,4,TE,1,658,500,141
P001,5,1745495183111,T,0,0,0,1,248,5,,0,20467,500,81
P002,1,1745502533111,A,0,0,0,0,0,0,,5,5379,750,48
P002,2,1745452961111,E,1,1,0,1,102,5,TE,3,32241,750,157
P002,3,1745522043111,X,1,1,0,1,430,1,TE,3,47551,750,145
P002,4,1745525641111,O,1,1,0,1,185,4,TE,3,34845,750,156
P002,5,1745505095111,Z,0,0,0,0,0,1,,5,37773,750,63
P003,1,1745537322111,A,1,1,0,0,0,0,TE,3,13596,750,100
P003,2,1745532876111,M,1,1,0,1,293,5,TE,5,1582,750,161
P003,3,1745461204111,X,1,1,0,0,0,0,TE,0,53029,750,191
P003,4,1745518522111,O,1,1,0,0,0,0,TE,4,29538,750,141
P003,5,1745504025111,T,1,1,0,1,93,4,TE,3,54223,750,144
P004,1,1745487511111,T,1,1,0,1,470,3,TE,4,41667,750,164
P004,2,1745498556111,X,1,0,0,1,24,2,,5,47880,750,44
P004,3,1745489171111,E,1,1,0,0,0,3,TE,0,33849,750,165
P004,4,1745474244111,M,0,0,0,1,133,4,,2,44915,750,17
P004,5,1745502871111,A,1,1,0,0,0,5,TE,5,26964,750,152
P005,1,1745513243111,Z,1,1,0,1,5,4,TE,2,35588,750,137
P005,2,1745508506111,Z,1,1,0,0,0,3,TE,3,2512,750,163
P005,3,1745482108111,M,0,0,1,1,179,4,,4,39209,750,64
P005,4,1745536568111,T,1,1,0,1,397,1,TE,3,14382,750,168
P005,5,1745506488111,E,1,0,0,0,0,2,,5,44518,750,63
P006,1,1745511358111,X,1,1,0,0,0,3,TE,5,32106,500,172
P006,2,1745495157111,E,1,1,0,0,0,0,TE,0,18290,500,158
P006,3,1745538145111,B,1,1,0,1,227,5,TE,3,47952,500,165
P006,4,1745511441111,E,1,0,0,0,0,4,,0,21901,500,51
P006,5,1745454495111,B,1,1,0,1,69,5,TE,0,21224,500,147
P007,1,1745457039111,T,1,1,0,1,222,5,TE,1,18128,750,188
P007,2,1745521962111,A,1,1,0,0,0,0,TE,1,26563,750,145
P007,3,1745505351111,M,1,1,0,0,0,1,TE,4,44671,750,212
P007,4,1745446341111,E,1,1,0,1,15,2,TE,4,30542,750,140
P007,5,1745471985111,E,1,1,0,1,451,2,TE,5,7417,750,178
P008,1,1745508139111,A,1,1,0,1,57,5,TE,3,24198,750,142
P008,2,1745537265111,E,1,1,0,1,70,3,TE,0,56512,750,155
P008,3,1745474309111,T,0,0,0,1,117,1,,0,27648,750,53
P008,4,1745525419111,T,1,1,0,1,480,3,TE,1,21161,750,149
P008,5,1745445267111,E,1,0,0,1,24,0,,2,12353,750,43
P009,1,1745485698111,M,1,1,0,0,0,0,TE,1,3857,750,161
P009,2,1745516307111,Z,1,0,1,1,417,1,,5,24461,750,43
P009,3,1745505144111,M,1,1,0,0,0,3,TE,2,49156,750,169
