timestamp_ms,letter_shown,button_pressed,correct_press,missed_opportunity,vibration_event,vibration_duration_ms,vibration_count,progress,score,time_left_ms
287150,M,1,0,0,1,287250,0,,0,59999
287150,M,0,0,0,1,100,1,,0,59999
290610,T,1,1,0,1,3560,1,T,0,56539
292980,E,1,1,0,1,5930,1,TE,0,54169
304521,A,1,1,0,1,17471,1,TEA,0,42628
305393,M,1,1,0,1,18343,1,,1,41756
313030,T,1,1,0,1,25980,1,T,1,34119
317716,E,1,1,0,1,30666,1,TE,1,29433
319269,A,1,1,0,1,32219,1,TEA,1,27880
321503,M,1,1,0,1,34453,1,,2,25646
326961,T,1,1,0,1,39911,1,T,2,20188
333100,B,1,0,0,1,46050,1,,2,14049
337412,T,0,1,1,1,50263,1,,2,9737
344208,T,1,1,0,1,57158,1,T,2,2941
428936,O,1,0,0,1,141886,0,,0,59999
440115,T,1,1,0,1,153065,0,T,0,48820
449433,E,1,1,0,1,162383,0,TE,0,39502
454846,A,1,1,0,1,167796,0,TEA,0,34089
460259,M,1,1,0,1,173208,0,,1,28676
466352,T,1,1,0,1,179302,0,T,1,22583
467224,E,1,1,0,1,180174,0,TE,1,21711
471819,A,1,1,0,1,184769,0,TEA,1,17116
478820,M,1,1,0,1,191770,0,,2,10115
482692,T,1,1,0,1,195642,0,T,2,6243
487439,E,1,1,0,1,200389,0,TE,2,1496
842961,O,1,0,0,1,555910,0,,0,59998
852592,T,1,1,0,1,565542,0,T,0,50367
856550,E,1,1,0,1,569500,0,TE,0,46409
874263,A,1,1,0,1,587213,0,TEA,0,28696
877405,M,1,1,0,1,590354,0,,1,25554
880410,T,1,1,0,1,593360,0,T,1,22549
901408,E,1,1,0,1,614358,0,TE,1,1551
