timestamp_ms,letter_shown,button_pressed,correct_press,missed_opportunity,vibration_event,vibration_duration_ms,vibration_count,progress,score,time_left_ms,round_id,time_diff
1963645,A,1,0,0,1,1963744,0,,0,59998,0,0.0
1963645,A,0,0,0,1,99,1,,0,59998,0,0.0
1966470,T,1,1,0,1,2925,1,T,0,57173,0,2825.0
1968978,E,1,1,0,1,5433,1,TE,0,54665,0,2508.0
1974120,A,1,1,0,1,10575,1,TEA,0,49523,0,5142.0
1974811,M,1,1,0,1,11266,1,,1,48832,0,691.0
1978000,T,1,1,0,1,14455,1,T,1,45643,0,3189.0
1983052,F,1,0,0,1,19507,1,,1,40591,0,5052.0
1986105,T,1,1,0,1,22560,1,T,1,37538,0,3053.0
1986796,E,1,1,0,1,23251,1,TE,1,36847,0,691.0
1987306,A,1,1,0,1,23760,1,TEA,1,36337,0,510.0
1989313,N,1,0,0,1,25768,1,,1,34330,0,2007.0
1992321,T,1,1,0,1,28776,1,T,1,31322,0,3008.0
1994829,E,1,1,0,1,31284,1,TE,1,28814,0,2508.0
1996110,A,1,1,0,1,32565,1,TEA,1,27533,0,1281.0
1996801,M,1,1,0,1,33256,1,,2,26842,0,691.0
1999900,T,1,1,0,1,36355,1,T,2,23743,0,3099.0
2000500,E,1,1,0,1,36955,1,TE,2,23143,0,600.0
2002963,A,1,1,0,1,39418,1,TEA,2,20680,0,2463.0
2006152,M,1,1,0,1,42607,1,,3,17491,0,3189.0
2008069,T,1,1,0,1,44524,1,T,3,15574,0,1917.0
2009851,E,1,1,0,1,46305,1,TE,3,13792,0,1782.0
2011358,E,1,0,0,1,47813,1,,3,12285,0,1507.0
2013816,T,1,1,0,1,50271,1,T,3,9827,0,2458.0
2014618,E,1,1,0,1,51073,1,TE,3,9025,0,802.0
2016342,A,1,1,0,1,52797,1,TEA,3,7301,0,1724.0
2017495,A,1,0,0,1,53950,1,,3,6148,0,1153.0
2022377,A,1,0,0,1,58832,1,,3,1266,0,4882.0
2023397,T,0,1,1,1,59753,1,,3,246,0,1020.0
2041585,E,1,0,0,1,78040,0,,0,59998,1,18188.0
2044455,T,1,1,0,1,80910,0,T,0,57128,1,2870.0
2045691,E,1,1,0,1,82146,0,TE,0,55892,1,1236.0
2047563,A,1,1,0,1,84018,0,TEA,0,54020,1,1872.0
2055158,M,1,1,0,1,91613,0,,1,46425,1,7595.0
2058938,T,1,1,0,1,95393,0,T,1,42645,1,3780.0
2065307,E,1,1,0,1,101762,0,TE,1,36276,1,6369.0
2065952,A,1,1,0,1,102407,0,TEA,1,35631,1,645.0
2066733,M,1,1,0,1,103188,0,,2,34850,1,781.0
2067379,T,1,1,0,1,103833,0,T,2,34204,1,646.0
2074928,E,1,1,0,1,111383,0,TE,2,26655,1,7549.0
2077436,A,1,1,0,1,113891,0,TEA,2,24147,1,2508.0
2078717,M,1,1,0,1,115172,0,,3,22866,1,1281.0
2080589,T,1,1,0,1,117044,0,T,3,20994,1,1872.0
2086912,E,1,1,0,1,123367,0,TE,3,14671,1,6323.0
2091951,A,1,1,0,1,128406,0,TEA,3,9632,1,5039.0
2098762,M,1,1,0,1,135217,0,,4,2821,1,6811.0
2100003,T,1,1,0,1,136458,0,T,4,1580,1,1241.0
2100630,E,1,1,0,1,137085,0,TE,4,953,1,627.0
2299773,T,1,1,0,1,336228,0,T,0,59998,2,199143.0
2300326,T,1,0,0,1,336781,0,,0,59445,2,553.0
2301517,E,1,0,0,1,337972,0,,0,58254,2,1191.0
2302117,A,1,0,0,1,338572,0,,0,57654,2,600.0
2303989,M,1,0,0,1,340444,0,,0,55782,2,1872.0
2310358,T,1,1,0,1,346813,0,T,0,49413,2,6369.0
2312775,E,1,1,0,1,349230,0,TE,0,46996,2,2417.0
2315328,A,1,1,0,1,351783,0,TEA,0,44443,2,2553.0
2316019,M,1,1,0,1,352474,0,,1,43752,2,691.0
2316529,T,1,1,0,1,352983,0,T,1,43242,2,510.0
2325440,E,1,1,0,1,361895,0,TE,1,34331,2,8911.0
2328584,A,1,1,0,1,365039,0,TEA,1,31187,2,3144.0
2331182,M,1,1,0,1,367637,0,,2,28589,2,2598.0
2332373,T,1,1,0,1,368828,0,T,2,27398,2,1191.0
2332973,E,1,1,0,1,369428,0,TE,2,26798,2,600.0
2334209,A,1,1,0,1,370664,0,TEA,2,25562,2,1236.0
2337353,M,1,1,0,1,373808,0,,3,22418,2,3144.0
2339270,T,1,1,0,1,375725,0,T,3,20501,2,1917.0
2341778,E,1,1,0,1,378233,0,TE,3,17993,2,2508.0
2343605,A,1,1,0,1,380060,0,TEA,3,16166,2,1827.0
2344386,M,1,1,0,1,380841,0,,4,15385,2,781.0
2350021,T,1,1,0,1,386475,0,T,4,9750,2,5635.0
2356261,E,1,1,0,1,392716,0,TE,4,3510,2,6240.0
2568581,F,1,0,0,1,605036,0,,0,59999,3,212320.0
2571542,T,1,1,0,1,607997,0,T,0,57038,3,2961.0
2578546,E,1,1,0,1,615001,0,TE,0,50034,3,7004.0
2579782,A,1,1,0,1,616237,0,TEA,0,48798,3,1236.0
2580427,M,1,1,0,1,616882,0,,1,48153,3,645.0
2582254,T,1,1,0,1,618709,0,T,1,46326,3,1827.0
2586079,E,1,1,0,1,622534,0,TE,1,42501,3,3825.0
2586634,A,1,1,0,1,623089,0,TEA,1,41946,3,555.0
2587915,M,1,1,0,1,624370,0,,2,40665,3,1281.0
2603141,T,1,1,0,1,639596,0,T,2,25439,4,15226.0
2604377,E,1,1,0,1,640832,0,TE,2,24203,4,1236.0
2609474,A,1,1,0,1,645929,0,TEA,2,19106,4,5097.0
2612618,M,1,1,0,1,649073,0,,3,15962,4,3144.0
2613263,T,1,1,0,1,649718,0,T,3,15317,4,645.0
2615090,E,1,1,0,1,651545,0,TE,3,13490,4,1827.0
2615690,A,1,1,0,1,652145,0,TEA,3,12890,4,600.0
2624527,M,1,1,0,1,660982,0,,4,4053,4,8837.0
2778857,T,1,1,0,1,815312,0,T,0,59998,5,154330.0
2779320,T,1,0,0,1,815775,0,,0,59535,5,463.0
2779875,E,1,0,0,1,816330,0,,0,58980,5,555.0
2781747,A,1,0,0,1,818202,0,,0,57108,5,1872.0
2783210,T,0,1,1,1,819565,0,,0,55645,5,1463.0
2783619,M,1,0,0,1,820074,0,,0,55236,5,409.0
2793077,T,1,1,0,1,829532,0,T,0,45778,5,9458.0
2795040,E,1,1,0,1,831494,0,TE,0,43815,5,1963.0
2801362,A,1,1,0,1,837817,0,TEA,0,37493,5,6322.0
2802598,M,1,1,0,1,839053,0,,1,36257,5,1236.0
2809648,T,1,1,0,1,846103,0,T,1,29207,5,7050.0
2812746,E,1,1,0,1,849201,0,TE,1,26109,5,3098.0
2815890,A,1,1,0,1,852345,0,TEA,1,22965,5,3144.0
