timestamp_ms,letter_shown,button_pressed,correct_press,missed_opportunity,vibration_event,vibration_duration_ms,vibration_count,progress,score,time_left_ms
1963645,A,1,0,0,1,1963744,0,,0,59998
1963645,A,0,0,0,1,99,1,,0,59998
1966470,T,1,1,0,1,2925,1,T,0,57173
1968978,E,1,1,0,1,5433,1,TE,0,54665
1974120,A,1,1,0,1,10575,1,TEA,0,49523
1974811,M,1,1,0,1,11266,1,,1,48832
1978000,T,1,1,0,1,14455,1,T,1,45643
1983052,F,1,0,0,1,19507,1,,1,40591
1986105,T,1,1,0,1,22560,1,T,1,37538
1986796,E,1,1,0,1,23251,1,TE,1,36847
1987306,A,1,1,0,1,23760,1,TEA,1,36337
1989313,N,1,0,0,1,25768,1,,1,34330
1992321,T,1,1,0,1,28776,1,T,1,31322
1994829,E,1,1,0,1,31284,1,TE,1,28814
1996110,A,1,1,0,1,32565,1,TEA,1,27533
1996801,M,1,1,0,1,33256,1,,2,26842
1999900,T,1,1,0,1,36355,1,T,2,23743
2000500,E,1,1,0,1,36955,1,TE,2,23143
2002963,A,1,1,0,1,39418,1,TEA,2,20680
2006152,M,1,1,0,1,42607,1,,3,17491
2008069,T,1,1,0,1,44524,1,T,3,15574
2009851,E,1,1,0,1,46305,1,TE,3,13792
2011358,E,1,0,0,1,47813,1,,3,12285
2013816,T,1,1,0,1,50271,1,T,3,9827
2014618,E,1,1,0,1,51073,1,TE,3,9025
2016342,A,1,1,0,1,52797,1,TEA,3,7301
2017495,A,1,0,0,1,53950,1,,3,6148
2022377,A,1,0,0,1,58832,1,,3,1266
2023397,T,0,1,1,1,59753,1,,3,246
2041585,E,1,0,0,1,78040,0,,0,59998
2044455,T,1,1,0,1,80910,0,T,0,57128
2045691,E,1,1,0,1,82146,0,TE,0,55892
2047563,A,1,1,0,1,84018,0,TEA,0,54020
2055158,M,1,1,0,1,91613,0,,1,46425
2058938,T,1,1,0,1,95393,0,T,1,42645
2065307,E,1,1,0,1,101762,0,TE,1,36276
2065952,A,1,1,0,1,102407,0,TEA,1,35631
2066733,M,1,1,0,1,103188,0,,2,34850
2067379,T,1,1,0,1,103833,0,T,2,34204
2074928,E,1,1,0,1,111383,0,TE,2,26655
2077436,A,1,1,0,1,113891,0,TEA,2,24147
2078717,M,1,1,0,1,115172,0,,3,22866
2080589,T,1,1,0,1,117044,0,T,3,20994
2086912,E,1,1,0,1,123367,0,TE,3,14671
2091951,A,1,1,0,1,128406,0,TEA,3,9632
2098762,M,1,1,0,1,135217,0,,4,2821
2100003,T,1,1,0,1,136458,0,T,4,1580
2100630,E,1,1,0,1,137085,0,TE,4,953
2299773,T,1,1,0,1,336228,0,T,0,59998
2300326,T,1,0,0,1,336781,0,,0,59445
2301517,E,1,0,0,1,337972,0,,0,58254
2302117,A,1,0,0,1,338572,0,,0,57654
2303989,M,1,0,0,1,340444,0,,0,55782
2310358,T,1,1,0,1,346813,0,T,0,49413
2312775,E,1,1,0,1,349230,0,TE,0,46996
2315328,A,1,1,0,1,351783,0,TEA,0,44443
2316019,M,1,1,0,1,352474,0,,1,43752
2316529,T,1,1,0,1,352983,0,T,1,43242
2325440,E,1,1,0,1,361895,0,TE,1,34331
2328584,A,1,1,0,1,365039,0,TEA,1,31187
2331182,M,1,1,0,1,367637,0,,2,28589
2332373,T,1,1,0,1,368828,0,T,2,27398
2332973,E,1,1,0,1,369428,0,TE,2,26798
2334209,A,1,1,0,1,370664,0,TEA,2,25562
2337353,M,1,1,0,1,373808,0,,3,22418
2339270,T,1,1,0,1,375725,0,T,3,20501
2341778,E,1,1,0,1,378233,0,TE,3,17993
2343605,A,1,1,0,1,380060,0,TEA,3,16166
2344386,M,1,1,0,1,380841,0,,4,15385
2350021,T,1,1,0,1,386475,0,T,4,9750
2356261,E,1,1,0,1,392716,0,TE,4,3510
2568581,F,1,0,0,1,605036,0,,0,59999
2571542,T,1,1,0,1,607997,0,T,0,57038
2578546,E,1,1,0,1,615001,0,TE,0,50034
2579782,A,1,1,0,1,616237,0,TEA,0,48798
2580427,M,1,1,0,1,616882,0,,1,48153
2582254,T,1,1,0,1,618709,0,T,1,46326
2586079,E,1,1,0,1,622534,0,TE,1,42501
